scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,12,10,50.0,5.5,398.5,active
baseline,0,13,10,50.0,12.5,100.5,active
baseline,0,14,10,50.0,9.0,401.5,active
baseline,0,15,10,50.0,11.5,96.5,active
baseline,0,16,10,50.0,11.5,604.5,active
baseline,0,17,10,50.0,12.5,99.5,active
baseline,0,18,10,50.0,10.5,197.0,active
baseline,0,19,10,50.0,11.5,698.5,active
baseline,0,20,10,50.0,11.5,397.0,active
baseline,0,21,10,50.0,13.0,198.5,active
baseline,0,22,10,50.0,12.5,0.0,active
baseline,0,23,10,50.0,12.5,799.0,active
baseline,0,24,10,50.0,12.0,504.0,active
baseline,0,25,10,50.0,14.0,796.5,active
baseline,0,26,10,50.0,11.0,96.0,active
baseline,0,27,10,50.0,11.5,98.0,active
baseline,0,28,10,50.0,13.0,597.5,active
baseline,0,29,10,50.0,10.0,196.0,active
baseline,0,0,11,55.0,7.5,398.5,active
baseline,0,1,11,55.0,12.5,98.0,active
baseline,0,2,11,55.0,9.0,98.0,active
baseline,0,3,11,55.0,11.5,598.0,active
baseline,0,4,11,55.0,12.0,0.0,active
baseline,0,5,11,55.0,13.0,100.0,active
baseline,0,6,11,55.0,10.0,795.0,active
baseline,0,7,11,55.0,12.0,597.5,active
baseline,0,8,11,55.0,9.5,194.5,active
baseline,0,9,11,55.0,4.5,397.5,active
baseline,0,10,11,55.0,13.0,196.5,active
baseline,0,11,11,55.0,13.5,697.5,active
baseline,0,12,11,55.0,5.0,398.0,active
baseline,0,13,11,55.0,13.0,100.0,active
baseline,0,14,11,55.0,9.0,401.0,active
baseline,0,15,11,55.0,12.0,96.0,active
baseline,0,16,11,55.0,12.0,604.5,active
baseline,0,17,11,55.0,13.0,99.0,active
baseline,0,18,11,55.0,11.0,197.0,active
baseline,0,19,11,55.0,12.0,698.0,active
baseline,0,20,11,55.0,11.0,396.5,active
baseline,0,21,11,55.0,13.5,198.5,active
baseline,0,22,11,55.0,13.0,0.5,active
baseline,0,23,11,55.0,12.5,799.5,active
baseline,0,24,11,55.0,12.5,503.5,active
baseline,0,25,11,55.0,14.5,796.0,active
baseline,0,26,11,55.0,11.5,95.5,active
baseline,0,27,11,55.0,12.0,97.5,active
baseline,0,28,11,55.0,13.5,597.0,active
baseline,0,29,11,55.0,10.5,196.0,active
baseline,0,0,12,60.0,8.0,399.0,active
baseline,0,1,12,60.0,13.0,98.0,active
baseline,0,2,12,60.0,9.5,98.0,active
baseline,0,3,12,60.0,12.0,598.0,active
baseline,0,4,12,60.0,12.5,0.0,active
baseline,0,5,12,60.0,13.0,100.5,active
baseline,0,6,12,60.0,10.0,794.5,active
baseline,0,7,12,60.0,12.5,597.5,active
baseline,0,8,12,60.0,10.0,194.0,active
baseline,0,9,12,60.0,4.5,397.0,active
baseline,0,10,12,60.0,13.5,196.0,active
baseline,0,11,12,60.0,14.0,697.5,active
baseline,0,12,12,60.0,5.0,397.5,active
baseline,0,13,12,60.0,13.5,99.5,active
baseline,0,14,12,60.0,9.0,400.5,active
baseline,0,15,12,60.0,12.0,95.5,active
baseline,0,16,12,60.0,12.5,604.0,active
baseline,0,17,12,60.0,13.5,98.5,active
baseline,0,18,12,60.0,11.5,196.5,active
baseline,0,19,12,60.0,12.5,697.5,active
baseline,0,20,12,60.0,10.5,396.0,active
baseline,0,21,12,60.0,14.0,198.0,active
baseline,0,22,12,60.0,13.5,0.0,active
baseline,0,23,12,60.0,13.0,800.0,active
baseline,0,24,12,60.0,12.0,503.0,active
baseline,0,25,12,60.0,15.0,795.5,active
baseline,0,26,12,60.0,11.0,95.0,active
baseline,0,27,12,60.0,12.5,97.5,active
baseline,0,28,12,60.0,14.0,596.5,active
baseline,0,29,12,60.0,11.0,195.5,active
baseline,0,0,13,65.0,8.0,399.0,active
baseline,0,1,13,65.0,13.5,98.0,active
baseline,0,2,13,65.0,10.0,98.0,active
baseline,0,3,13,65.0,12.5,597.5,active
baseline,0,4,13,65.0,13.0,0.0,active
baseline,0,5,13,65.0,13.0,100.5,active
baseline,0,6,13,65.0,10.0,794.0,active
baseline,0,7,13,65.0,13.0,597.0,active
baseline,0,8,13,65.0,10.5,193.5,active
baseline,0,9,13,65.0,4.5,396.5,active
baseline,0,10,13,65.0,14.0,195.5,active
baseline,0,11,13,65.0,14.5,697.0,active
baseline,0,12,13,65.0,5.0,397.0,active
baseline,0,13,13,65.0,14.0,99.5,active
baseline,0,14,13,65.0,9.0,400.0,active
